id,name,documents_url,announcement_url,notices_url
dist-18-kamrup_metro-coll,Kamrup Metro District Collectorate,,,
dist-18-karbi_anglong-coll,Karbi Anglong District Collectorate,,,
dist-18-kokrajhar-coll,Kokrajhar District Collectorate,,,
dist-18-lakhimpur-coll,Lakhimpur District Collectorate,,,
dist-18-majuli-coll,Majuli District Collectorate,,,
dist-18-marigaon-coll,Marigaon District Collectorate,,,
dist-18-nagaon-coll,Nagaon District Collectorate,,,
dist-18-nalbari-coll,Nalbari District Collectorate,,,
dist-18-sivasagar-coll,Sivasagar District Collectorate,,,
dist-18-sonitpur-coll,Sonitpur District Collectorate,,,
dist-18-south_salmara_mancachar-coll,South Salmara Mancachar District Collectorate,,,
dist-18-tinsukia-coll,Tinsukia District Collectorate,,,
dist-18-udalguri-coll,Udalguri District Collectorate,,,
dist-18-west_karbi_anglong-coll,West Karbi Anglong District Collectorate,,,
dist-10-araria-coll,Araria District Collectorate,https://araria.nic.in/documents/,,https://araria.nic.in/notice_category/notices/
dist-10-arwal-coll,Arwal District Collectorate,https://arwal.nic.in/documents/,,
dist-10-aurangabad-coll,Aurangabad District Collectorate,https://aurangabad.bih.nic.in/documents/,,
dist-10-banka-coll,Banka District Collectorate,,,
dist-10-begusarai-coll,Begusarai District Collectorate,https://begusarai.nic.in/documents/,,https://begusarai.nic.in/notice_category/notices/
dist-10-bhagalpur-coll,Bhagalpur District Collectorate,https://bhagalpur.nic.in/documents/,,
dist-10-bhojpur-coll,Bhojpur District Collectorate,https://bhojpur.nic.in/documents/,,
dist-10-buxar-coll,Buxar District Collectorate,https://buxar.nic.in/documents/,,
dist-10-darbhanga-coll,Darbhanga District Collectorate,https://darbhanga.nic.in/documents/,,https://darbhanga.nic.in/notice_category/notices/
dist-10-gaya-coll,Gaya District Collectorate,https://gaya.nic.in/documents/,,
dist-10-gopalganj-coll,Gopalganj District Collectorate,https://gopalganj.nic.in/documents/,,
